,k,x,reward,patch_label,regret,m,q,simul_id
181,3.0,[  2.         195.29686928  -7.44707687],0.0,non_Speaker,1.0,[ 0.00197143  0.05179982 -0.05934212],[ 1.01940428 12.60641612 19.47180121],9
187,2.0,[  3.         830.4440093   -2.50633359],0.0,Speaker,1.0,[ 0.00377981  0.05730238 -0.07143442],[ 1.03186478  9.08922383 13.31948664],9
195,2.0,[  3.         839.94608151  -1.52237811],0.0,Speaker,1.0,[ 0.00377931  0.05730065 -0.07143262],[ 1.03187065  9.09075943 13.32183761],9
200,3.0,[  2.         306.67742047 -10.39124545],0.0,non_Speaker,1.0,[ 0.00197128  0.05179921 -0.05934189],[ 1.01946139 13.14351003 19.47339349],9
215,2.0,[  3.         844.19408869  -2.0579448 ],0.0,Speaker,1.0,[ 0.00377987  0.0572999  -0.07143151],[ 1.03187371  9.09154822 13.32308269],9
235,2.0,[  3.         511.22989315  -5.76096072],1.0,Speaker,0.0,[ 0.00377921  0.0573003  -0.07143305],[ 1.03187039  9.09072271 13.32169217],9
239,2.0,[  3.          57.4867536  -55.39473483],1.0,Speaker,0.0,[ 0.00378017  0.05729857 -0.07143459],[ 1.03187003  9.09075954 13.3213731 ],9
247,3.0,[   2.          218.9762523  -166.98558505],0.0,non_Speaker,1.0,[ 0.00196905  0.05179939 -0.05934096],[ 1.01946254 13.14753663 19.47438531],9
258,3.0,[  2.          62.46417973 -93.99372746],1.0,non_Speaker,0.0,[ 0.00197275  0.05179967 -0.0593395 ],[ 1.01946385 13.14826541 19.47569716],9
267,3.0,[  2.          12.59784513 -77.8669752 ],1.0,non_Speaker,0.0,[ 0.00196029  0.051788   -0.05992903],[ 1.01910044 13.05273946 19.49203489],9
273,2.0,[  3.         597.6338887   -3.29176298],0.0,Speaker,1.0,[ 0.00381043  0.05899097 -0.07179801],[ 1.03192246  9.37809363 13.22933386],9
276,5.0,[   2.          366.46774933 -178.5433454 ],0.0,non_Speaker,1.0,[ 0.00074015  0.01987636 -0.04679615],[  1.06422845 296.83372415  60.39466566],9
282,2.0,[  3.         533.62747202  -6.05784862],0.0,Speaker,1.0,[ 0.61780244  2.1031234  -1.03626158],[1. 1. 1.],9
302,3.0,[  2.         333.02795971 -15.02113225],0.0,non_Speaker,1.0,[ 0.00220451  0.04266383 -0.0731695 ],[ 1.01779894 14.47230969 19.78795682],9
314,2.0,[  3.          72.12727711 -63.08604352],0.0,Speaker,1.0,[ 0.00380606  0.05897495 -0.07180813],[ 1.03192842  9.38069113 13.23038634],9
320,2.0,[  3.         261.67537826 -14.22802484],0.0,Speaker,1.0,[ 0.0038032   0.05896827 -0.0718164 ],[ 1.03266407  9.8079572  13.55517598],9
330,3.0,[  2.         248.93383749  -9.32015091],0.0,non_Speaker,1.0,[ 0.00220265  0.0426642  -0.07316548],[ 1.0178037  14.48741374 19.79290017],9
339,4.0,[   2.           45.03938575 -105.91183903],1.0,non_Speaker,0.0,[ 0.00089904  0.02054258 -0.04821226],[ 1.00700965 61.64247407 15.00984699],9
341,2.0,[  3.         536.8269011   -5.16341377],0.0,Speaker,1.0,[ 1.28207083  2.6438254  -1.9753544 ],[1. 1. 1.],9
352,0.0,[  0.         153.70226181  44.17604362],0.0,CB,1.0,[-6.93889390e-18  5.55111512e-17  0.00000000e+00],[1.00000000e+00 2.94263934e+03 1.72713899e+03],9
362,4.0,[  2.          59.76709138 -97.06194306],0.0,non_Speaker,1.0,[ 0.00099178  0.02259113 -0.05317006],[ 1.00648193 32.6657702  16.33946037],9
372,3.0,[  2.          54.36566549 -78.70456536],1.0,non_Speaker,0.0,[ 0.00220197  0.04266292 -0.07316505],[ 1.01783194 14.903719   19.79493299],9
377,2.0,[  3.         283.06933213  -5.74084613],0.0,Speaker,1.0,[ 0.00380289  0.05896752 -0.07181617],[ 1.03266603  9.81106304 13.55579629],9
8,0.0,[0. 0. 0.],0.0,CB,1.0,[ 6.93889390e-18 -3.46944695e-18 -2.77555756e-17],[1.00000000e+00 3.87160656e+03 1.80387752e+03],9
12,4.0,[  2.         295.46011425 -11.38349752],0.0,non_Speaker,1.0,[ 0.00099946  0.02259591 -0.05316802],[ 1.00968121 35.47903184 23.87849003],9
23,4.0,[  2.         287.05607344 -12.12864866],0.0,non_Speaker,1.0,[ 0.00099203  0.02259431 -0.05316876],[ 1.01117069 67.98511299 23.92714987],9
41,2.0,[  3.         286.83598525 -16.05271805],0.0,Speaker,1.0,[ 0.00380188  0.05896871 -0.0718163 ],[ 1.03266422  9.81206941 13.55505994],9
